Reporter,2018,2019,2020,2018-19_p,2019-20_p
Brazil,25141141,21359331,24338949,-15%,14%
Canada,577000,464000,500000,-20%,8%
China,17033435552,10944873089,6892539435,-36%,-37%
Finland,112330776,88019644,81878345,-22%,-7%
Germany,4608172516,4638338873,4369031628,1%,-6%
India,6412920597,6552343192,5994440304,2%,-9%
Indonesia,3193334444,3182052878,3000051568,0%,-6%
Japan,42015165,47327468,30226905,13%,-36%
Rep. of Korea,1554233303,1461184785,1150328435,-6%,-21%
Russian Federation,18797930,32006826,74572427,70%,133%
Sweden,452520270,388240548,273882968,-14%,-29%
USA,743618000,513251000,611489000,-31%,19%